#title = mean sea level anomaly global ocean (66S to 66N) (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.96 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,-16.20000,,,
1992.9865,-17.90000,,,
1993.0123,-14.80000,,,
1993.0407,-19.80000,,,
1993.0660,-25.20000,,,
1993.0974,-29.30000,,,
1993.1206,-27.60000,,,
1993.1493,-21.80000,,,
1993.1765,-18.90000,,,
1993.2037,-19.40000,,,
1993.2307,-22.90000,,,
1993.2851,-26.20000,,,
1993.3123,-20.00000,,,
1993.3394,-19.80000,,,
1993.3665,-17.10000,,,
1993.3937,-22.00000,,,
1993.4208,-26.70000,,,
1993.4480,-23.70000,,,
1993.4751,-18.90000,,,
1993.5021,-15.60000,,,
1993.5294,-16.20000,,,
1993.5837,-23.00000,,,
1993.6117,-18.80000,,,
1993.6381,-13.40000,,,
1993.6652,-8.30000,,,
1993.6923,-9.00000,,,
1993.7189,-14.10000,,,
1993.7466,-13.50000,,,
1993.7738,-8.00000,,,
1993.8009,-8.30000,,,
1993.8553,-5.40000,,,
1993.8824,-12.00000,,,
1993.9098,-13.60000,,,
1993.9367,-12.40000,,,
1993.9639,-6.10000,,,
1993.9907,-5.50000,,,
1994.0181,-15.40000,,,
1994.0452,-16.40000,,,
1994.0723,-18.80000,,,
1994.0995,-21.10000,,,
1994.1267,-20.00000,,,
1994.1539,-14.00000,,,
1994.1809,-13.50000,,,
1994.2353,-18.60000,,,
1994.2624,-16.40000,,,
1994.2896,-14.30000,,,
1994.3168,-11.80000,,,
1994.3439,-15.60000,,,
1994.3710,-20.50000,,,
1994.3982,-23.60000,,,
1994.4253,-20.70000,,,
1994.4524,-14.30000,,,
1994.5067,-20.40000,,,
1994.5339,-18.70000,,,
1994.5610,-20.70000,,,
1994.5882,-15.80000,,,
1994.6154,-11.90000,,,
1994.6425,-7.50000,,,
1994.6697,-8.70000,,,
1994.6968,-9.70000,,,
1994.7239,-11.10000,,,
1994.7510,-8.90000,,,
1994.7782,-6.50000,,,
1994.8054,0.00000,,,
1994.8325,-1.70000,,,
1994.8868,-10.70000,,,
1994.9140,-12.00000,,,
1994.9412,-3.40000,,,
1994.9684,-3.80000,,,
1994.9955,-8.30000,,,
1995.0226,-12.40000,,,
1995.0497,-16.00000,,,
1995.0769,-8.60000,,,
1995.1040,-9.90000,,,
1995.1312,-11.70000,,,
1995.1583,-12.40000,,,
1995.2127,-11.40000,,,
1995.2398,-16.80000,,,
1995.2669,-11.30000,,,
1995.2941,-9.20000,,,
1995.3212,-13.20000,,,
1995.3755,-18.00000,,,
1995.4028,-14.90000,,,
1995.4298,-9.40000,,,
1995.4569,-12.50000,,,
1995.4841,-17.80000,,,
1995.5384,-20.70000,,,
1995.5655,-15.60000,,,
1995.5927,-11.70000,,,
1995.6199,-7.40000,,,
1995.6470,-11.00000,,,
1995.6740,-10.80000,,,
1995.7013,-6.50000,,,
1995.7285,1.90000,,,
1995.7556,-0.10000,,,
1995.7827,-1.10000,,,
1995.8371,-5.40000,,,
1995.8643,-5.10000,,,
1995.8899,-1.70000,,,
1995.9456,-1.40000,,,
1995.9728,-3.40000,,,
1995.9998,-10.30000,,,
1996.0270,-13.30000,,,
1996.0533,-11.80000,,,
1996.0814,-7.50000,,,
